key,title,achievements,effort,kind,key:campaign
#base - entity
milestone-01,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,TEASER,campaign-01
#name - standar
milestone-02,L,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,TEASER,campaign-01
milestone-03,Lo,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,TEASER,campaign-01
milestone-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,TEASER,campaign-01
milestone-05,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,TEASER,campaign-01
milestone-06,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,TEASER,campaign-01
milestone-07,لوريم إيبسوم,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,TEASER,campaign-01
milestone-08,洛伦·伊普森,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,TEASER,campaign-01
milestone-09,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,TEASER,campaign-01
milestone-10,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,TEASER,campaign-01
milestone-11,' or 'A' = 'A,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,TEASER,campaign-01
#description - standar
milestone-12,"Lorem ipsum dolor sit amet, consectetu",L,50.0,TEASER,campaign-01
milestone-13,"Lorem ipsum dolor sit amet, consectetu",Lo,50.0,TEASER,campaign-01
milestone-14,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",50.0,TEASER,campaign-01
milestone-15,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",50.0,TEASER,campaign-01
milestone-16,"Lorem ipsum dolor sit amet, consectetu",โลเร็ม อิปซัม,50.0,TEASER,campaign-01
milestone-17,"Lorem ipsum dolor sit amet, consectetu",لوريم إيبسوم,50.0,TEASER,campaign-01
milestone-18,"Lorem ipsum dolor sit amet, consectetu",洛伦·伊普森,50.0,TEASER,campaign-01
milestone-19,"Lorem ipsum dolor sit amet, consectetu",<marquee>Hacked</marquee>,50.0,TEASER,campaign-01
milestone-20,"Lorem ipsum dolor sit amet, consectetu",<script>alert(‘Hacked!’);</script>,50.0,TEASER,campaign-01
milestone-21,"Lorem ipsum dolor sit amet, consectetu",' or 'A' = 'A,50.0,TEASER,campaign-01
#effort - standar
milestone-22,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0.0,TEASER,campaign-01
milestone-23,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0.01,TEASER,campaign-01
milestone-24,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",999999.99,TEASER,campaign-01
#kind - standar
milestone-26,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,ENGAGING,campaign-01
milestone-27,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,CONVERSION,campaign-01
#campaign - standar
milestone-28,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,TEASER,campaign-02
milestone-29,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.0,TEASER,campaign-03